region,year,avg_per_capita_expenditure_som,avg_per_capita_income_som,electricity_access_share_pct,energy_costs_share_pct,living_wage_som,nominal_income_per_capita_som,old_age_pension_recipients_thousands,pension_recipients_thousands,poor_population_thousands,poverty_rate_pct,real_cash_income_yoy_pct,regional_income_to_national_pct,safe_drinking_water_share_pct,sewerage_access_share_pct,thermal_energy_expenditure_share_pct
Kyrgyz Republic,2018,,,75.7,,,,,,,,,,,,
Kyrgyz Republic,2019,3899.0,5684.7,76.1,3.1,,447879.2,,,1312808.0,20.1,107.2,100.0,94.1,31.5,0.5
Kyrgyz Republic,2020,3913.6,5625.4,72.8,3.2,5358.5,451943.5,,,1678265.0,25.3,94.9,100.0,94.1,34.4,0.6
Kyrgyz Republic,2021,4681.5,6647.8,70.8,2.8,6268.3,541755.0,,,2244310.0,33.3,107.1,100.0,95.1,40.0,0.5
Kyrgyz Republic,2022,5393.1,7948.4,73.1,2.6,7178.3,637083.2,,,2333162.0,33.2,103.2,100.0,96.3,42.6,0.5
Kyrgyz Republic,2023,6291.5,9716.0,,2.3,7681.5,781015.2,,,2135097.0,29.8,110.6,100.0,95.4,48.2,0.4
Kyrgyz Republic,2024,,,,,7963.7,,,,,,,,,,
